Test Title:	5 Element Test 0 progressive phase						
Date:	08/12/2021						
Time:	11:58						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-80.000000	Stop	80.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-80.000	-9.162	36.124	
-79.000	-8.724	33.560	
-78.000	-8.387	28.632	
-77.000	-8.422	23.823	
-76.000	-8.709	18.715	
-75.000	-9.547	9.762	
-74.000	-10.312	4.747	
-73.000	-11.899	-2.873	
-72.000	-14.886	-3.301	
-71.000	-17.538	-5.026	
-70.000	-20.693	19.567	
-69.000	-22.753	39.026	
-68.000	-25.572	71.830	
-67.000	-22.572	94.413	
-66.000	-21.417	122.266	
-65.000	-19.415	149.772	
-64.000	-16.376	148.672	
-63.000	-12.584	152.283	
-62.000	-10.786	157.759	
-61.000	-8.420	155.932	
-60.000	-6.640	155.088	
-59.000	-6.143	150.012	
-58.000	-5.311	150.866	
-57.000	-4.417	146.728	
-56.000	-4.037	148.909	
-55.000	-4.197	151.126	
-54.000	-4.076	149.974	
-53.000	-3.711	160.106	
-52.000	-3.057	165.729	
-51.000	-1.831	166.263	
-50.000	-1.447	168.608	
-49.000	-0.194	171.672	
-48.000	0.759	170.732	
-47.000	1.699	170.356	
-46.000	1.971	174.834	
-45.000	3.116	174.272	
-44.000	3.543	173.662	
-43.000	4.312	174.253	
-42.000	4.904	176.083	
-41.000	5.447	175.925	
-40.000	5.712	175.998	
-39.000	6.255	177.095	
-38.000	6.722	176.682	
-37.000	7.204	177.282	
-36.000	7.853	173.974	
-35.000	7.523	174.438	
-34.000	8.403	175.544	
-33.000	8.625	172.055	
-32.000	8.281	173.526	
-31.000	8.740	171.328	
-30.000	8.577	170.154	
-29.000	8.484	171.684	
-28.000	8.808	170.491	
-27.000	8.777	171.780	
-26.000	8.558	170.303	
-25.000	8.395	168.856	
-24.000	8.028	168.149	
-23.000	7.441	167.292	
-22.000	7.245	168.612	
-21.000	6.785	168.245	
-20.000	6.548	167.938	
-19.000	5.912	168.227	
-18.000	5.318	165.533	
-17.000	4.557	165.448	
-16.000	3.429	166.725	
-15.000	2.427	167.743	
-14.000	1.601	168.672	
-13.000	0.231	163.956	
-12.000	-1.625	165.439	
-11.000	-3.292	162.631	
-10.000	-5.509	164.534	
-9.000	-8.375	166.600	
-8.000	-12.985	152.513	
-7.000	-17.770	140.103	
-6.000	-21.930	49.647	
-5.000	-13.139	13.430	
-4.000	-11.322	6.394	
-3.000	-8.273	6.260	
-2.000	-6.645	4.387	
-1.000	-4.891	4.993	
0.000	-4.397	5.992	
1.000	-3.619	8.962	
2.000	-3.869	4.354	
3.000	-3.460	5.510	
4.000	-3.300	10.733	
5.000	-2.975	13.678	
6.000	-3.935	14.740	
7.000	-3.916	16.142	
8.000	-5.098	16.740	
9.000	-6.724	19.550	
10.000	-7.714	27.083	
11.000	-10.223	23.902	
12.000	-12.476	34.041	
13.000	-15.587	33.003	
14.000	-26.617	50.675	
15.000	-26.558	164.521	
16.000	-17.892	-170.764	
17.000	-12.463	-165.538	
18.000	-10.973	-157.926	
19.000	-8.950	-156.980	
20.000	-7.770	-155.577	
21.000	-6.118	-149.710	
22.000	-5.852	-149.592	
23.000	-5.070	-144.735	
24.000	-4.163	-143.318	
25.000	-3.569	-141.573	
26.000	-3.511	-137.479	
27.000	-2.935	-138.050	
28.000	-2.466	-138.818	
29.000	-2.447	-133.705	
30.000	-2.947	-131.518	
31.000	-1.888	-130.324	
32.000	-2.525	-123.239	
33.000	-2.765	-122.053	
34.000	-2.655	-116.776	
35.000	-3.348	-111.681	
36.000	-4.214	-107.262	
37.000	-4.521	-102.747	
38.000	-5.774	-96.588	
39.000	-7.079	-93.391	
40.000	-7.361	-87.444	
41.000	-8.655	-82.203	
42.000	-10.413	-75.986	
43.000	-11.150	-57.791	
44.000	-10.729	-52.340	
45.000	-12.337	-49.525	
46.000	-12.476	-29.726	
47.000	-10.108	-21.395	
48.000	-10.599	-9.939	
49.000	-8.420	2.524	
50.000	-7.572	13.989	
51.000	-7.254	24.036	
52.000	-6.222	25.299	
53.000	-5.453	34.474	
54.000	-6.272	44.229	
55.000	-5.159	56.106	
56.000	-4.999	57.142	
57.000	-5.138	63.423	
58.000	-5.315	65.661	
59.000	-4.828	69.417	
60.000	-6.056	69.288	
61.000	-6.290	69.685	
62.000	-6.191	71.441	
63.000	-6.467	70.653	
64.000	-6.507	71.867	
65.000	-6.628	71.496	
66.000	-6.103	74.344	
67.000	-6.016	74.554	
68.000	-6.438	74.981	
69.000	-6.673	81.222	
70.000	-6.750	81.055	
71.000	-7.754	82.740	
72.000	-8.233	84.855	
73.000	-8.904	82.275	
74.000	-9.337	79.601	
75.000	-9.724	78.277	
76.000	-10.382	77.681	
77.000	-10.007	77.591	
78.000	-9.486	74.382	
79.000	-9.553	75.848	
80.000	-10.190	74.955	
