Test Title:	5 Element Test -90 progressive phase						
Date:	08/12/2021						
Time:	12:23						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-80.000000	Stop	80.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-80.000	-13.237	-136.958	
-79.000	-13.184	-137.561	
-78.000	-13.598	-140.506	
-77.000	-13.621	-141.205	
-76.000	-14.340	-139.932	
-75.000	-14.843	-136.921	
-74.000	-15.386	-133.338	
-73.000	-15.187	-124.746	
-72.000	-14.600	-119.293	
-71.000	-14.178	-115.076	
-70.000	-13.012	-115.723	
-69.000	-12.387	-119.020	
-68.000	-12.171	-122.121	
-67.000	-12.031	-128.901	
-66.000	-12.056	-131.510	
-65.000	-12.336	-133.976	
-64.000	-12.924	-137.397	
-63.000	-13.298	-140.084	
-62.000	-13.563	-142.711	
-61.000	-13.706	-144.764	
-60.000	-14.490	-139.493	
-59.000	-14.369	-147.269	
-58.000	-15.166	-147.036	
-57.000	-15.243	-150.531	
-56.000	-16.375	-155.445	
-55.000	-17.082	-156.755	
-54.000	-18.573	-168.599	
-53.000	-17.955	178.596	
-52.000	-19.905	163.474	
-51.000	-20.723	140.301	
-50.000	-23.394	117.672	
-49.000	-20.046	100.722	
-48.000	-18.508	82.413	
-47.000	-17.512	75.406	
-46.000	-15.624	75.025	
-45.000	-15.421	68.406	
-44.000	-13.056	62.368	
-43.000	-12.370	60.101	
-42.000	-11.688	55.817	
-41.000	-11.175	56.772	
-40.000	-10.892	59.279	
-39.000	-10.062	52.776	
-38.000	-9.835	55.065	
-37.000	-9.185	50.670	
-36.000	-9.391	51.027	
-35.000	-9.099	45.538	
-34.000	-8.745	46.346	
-33.000	-8.696	42.780	
-32.000	-9.765	42.864	
-31.000	-10.167	44.398	
-30.000	-11.788	43.699	
-29.000	-12.580	43.151	
-28.000	-12.745	43.272	
-27.000	-14.273	56.829	
-26.000	-16.054	59.740	
-25.000	-19.890	80.145	
-24.000	-29.032	97.132	
-23.000	-21.472	-172.174	
-22.000	-17.179	-154.192	
-21.000	-13.906	-155.525	
-20.000	-11.895	-151.264	
-19.000	-8.289	-152.214	
-18.000	-6.748	-145.274	
-17.000	-5.091	-146.062	
-16.000	-4.090	-142.288	
-15.000	-2.882	-144.561	
-14.000	-1.253	-146.630	
-13.000	-0.422	-148.258	
-12.000	0.187	-148.691	
-11.000	1.069	-150.786	
-10.000	1.700	-146.810	
-9.000	2.432	-149.023	
-8.000	2.687	-144.940	
-7.000	3.462	-150.299	
-6.000	3.684	-146.144	
-5.000	3.978	-144.728	
-4.000	4.268	-150.000	
-3.000	4.370	-146.440	
-2.000	4.735	-148.254	
-1.000	4.392	-150.288	
0.000	4.584	-149.149	
1.000	4.560	-150.834	
2.000	4.649	-150.418	
3.000	4.415	-149.801	
4.000	4.101	-149.325	
5.000	3.908	-147.734	
6.000	3.565	-146.418	
7.000	3.002	-147.611	
8.000	2.534	-147.355	
9.000	2.111	-146.822	
10.000	1.378	-145.674	
11.000	0.436	-143.153	
12.000	-0.944	-137.712	
13.000	-1.546	-140.385	
14.000	-2.895	-137.477	
15.000	-3.911	-135.623	
16.000	-5.381	-135.333	
17.000	-7.333	-135.157	
18.000	-9.460	-128.134	
19.000	-12.623	-122.503	
20.000	-17.274	-116.543	
21.000	-21.779	-73.734	
22.000	-25.018	-6.298	
23.000	-17.646	23.700	
24.000	-14.744	35.082	
25.000	-12.272	37.707	
26.000	-10.130	44.151	
27.000	-8.511	48.109	
28.000	-8.000	49.587	
29.000	-7.030	50.385	
30.000	-7.068	54.578	
31.000	-6.619	55.989	
32.000	-6.768	59.301	
33.000	-6.442	58.489	
34.000	-6.733	62.103	
35.000	-7.770	61.809	
36.000	-8.085	67.011	
37.000	-8.383	64.606	
38.000	-9.687	67.256	
39.000	-10.003	65.157	
40.000	-12.269	67.423	
41.000	-13.511	66.277	
42.000	-14.179	64.788	
43.000	-15.543	69.965	
44.000	-17.573	72.380	
45.000	-20.922	68.209	
46.000	-25.369	72.198	
47.000	-32.970	49.876	
48.000	-33.598	-111.856	
49.000	-25.814	-89.808	
50.000	-21.759	-88.297	
51.000	-18.134	-97.700	
52.000	-17.169	-89.284	
53.000	-15.647	-92.366	
54.000	-14.588	-93.009	
55.000	-13.119	-88.737	
56.000	-12.050	-91.262	
57.000	-11.090	-89.856	
58.000	-11.487	-88.528	
59.000	-10.861	-85.285	
60.000	-11.030	-78.201	
61.000	-10.995	-78.675	
62.000	-11.022	-78.659	
63.000	-11.478	-77.889	
64.000	-11.890	-79.585	
65.000	-11.778	-82.969	
66.000	-11.889	-83.879	
67.000	-11.554	-87.705	
68.000	-11.348	-93.331	
69.000	-10.708	-91.605	
70.000	-10.580	-92.144	
71.000	-10.216	-88.736	
72.000	-10.537	-85.869	
73.000	-10.647	-85.820	
74.000	-10.720	-84.710	
75.000	-11.318	-83.473	
76.000	-12.138	-82.441	
77.000	-12.649	-83.199	
78.000	-13.291	-82.695	
79.000	-13.290	-89.490	
80.000	-13.161	-89.694	
