Test Title:	5 Element Test 127 progressive phase						
Date:	08/12/2021						
Time:	12:41						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-80.000000	Stop	80.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-80.000	-9.753	121.808	
-79.000	-9.696	123.715	
-78.000	-10.695	127.417	
-77.000	-10.642	137.743	
-76.000	-11.161	144.990	
-75.000	-10.558	152.215	
-74.000	-9.597	161.212	
-73.000	-8.289	164.495	
-72.000	-7.040	172.040	
-71.000	-6.932	173.341	
-70.000	-5.560	-179.275	
-69.000	-4.450	-176.812	
-68.000	-3.728	-177.623	
-67.000	-2.618	-170.346	
-66.000	-1.480	-170.359	
-65.000	-0.468	-167.938	
-64.000	0.391	-168.311	
-63.000	1.360	-168.371	
-62.000	1.867	-167.549	
-61.000	3.122	-171.819	
-60.000	3.641	-175.243	
-59.000	4.135	-174.100	
-58.000	4.599	-173.774	
-57.000	4.867	-175.305	
-56.000	5.171	-174.748	
-55.000	5.739	-174.375	
-54.000	5.943	-175.084	
-53.000	6.377	-179.695	
-52.000	6.312	-179.844	
-51.000	6.511	-179.693	
-50.000	6.801	178.946	
-49.000	7.300	-178.420	
-48.000	7.387	179.360	
-47.000	7.479	-177.800	
-46.000	7.502	179.960	
-45.000	7.879	-179.448	
-44.000	8.138	177.948	
-43.000	8.032	179.394	
-42.000	8.147	-179.733	
-41.000	8.459	179.072	
-40.000	7.996	179.613	
-39.000	8.301	179.679	
-38.000	8.249	179.220	
-37.000	8.205	177.554	
-36.000	7.897	177.242	
-35.000	8.141	177.987	
-34.000	7.715	175.071	
-33.000	7.672	177.666	
-32.000	7.219	177.868	
-31.000	7.052	178.281	
-30.000	6.042	176.682	
-29.000	5.937	176.329	
-28.000	5.405	175.104	
-27.000	4.879	177.866	
-26.000	3.861	169.165	
-25.000	3.156	176.892	
-24.000	1.384	170.142	
-23.000	0.585	171.651	
-22.000	-0.968	167.943	
-21.000	-3.268	164.888	
-20.000	-4.727	170.778	
-19.000	-8.864	158.757	
-18.000	-13.187	164.603	
-17.000	-19.521	131.013	
-16.000	-16.600	45.059	
-15.000	-11.955	10.319	
-14.000	-8.350	7.420	
-13.000	-6.417	7.434	
-12.000	-4.893	5.011	
-11.000	-3.948	3.948	
-10.000	-2.868	-1.569	
-9.000	-1.961	2.966	
-8.000	-2.487	1.466	
-7.000	-2.224	3.065	
-6.000	-2.787	2.961	
-5.000	-1.901	2.124	
-4.000	-1.517	3.219	
-3.000	-1.821	6.408	
-2.000	-2.559	4.651	
-1.000	-3.580	5.957	
0.000	-4.912	3.060	
1.000	-6.185	7.587	
2.000	-7.810	3.374	
3.000	-9.492	-1.940	
4.000	-14.397	-11.958	
5.000	-18.936	-33.895	
6.000	-21.274	-104.929	
7.000	-13.830	-128.996	
8.000	-10.063	-140.435	
9.000	-8.168	-143.070	
10.000	-6.089	-146.453	
11.000	-4.660	-144.515	
12.000	-3.858	-144.089	
13.000	-2.603	-141.052	
14.000	-1.837	-140.049	
15.000	-2.001	-137.039	
16.000	-1.412	-136.094	
17.000	-1.113	-135.503	
18.000	-1.179	-132.353	
19.000	-1.183	-129.156	
20.000	-1.381	-126.980	
21.000	-1.651	-126.727	
22.000	-2.530	-121.672	
23.000	-3.016	-119.014	
24.000	-3.135	-111.859	
25.000	-4.298	-107.930	
26.000	-4.438	-104.845	
27.000	-5.763	-94.301	
28.000	-6.993	-86.816	
29.000	-7.624	-80.623	
30.000	-8.648	-67.811	
31.000	-8.790	-50.984	
32.000	-9.332	-33.578	
33.000	-8.974	-21.717	
34.000	-7.964	-2.689	
35.000	-7.459	9.166	
36.000	-6.081	19.080	
37.000	-5.563	24.726	
38.000	-4.444	36.395	
39.000	-3.876	41.287	
40.000	-3.572	49.208	
41.000	-2.931	54.599	
42.000	-3.053	58.377	
43.000	-3.100	63.790	
44.000	-2.627	66.932	
45.000	-2.685	62.184	
46.000	-3.132	69.244	
47.000	-2.800	74.587	
48.000	-2.680	74.981	
49.000	-3.123	77.726	
50.000	-3.253	79.009	
51.000	-2.923	80.714	
52.000	-2.695	84.020	
53.000	-3.126	89.213	
54.000	-3.049	95.825	
55.000	-3.663	100.885	
56.000	-2.666	105.204	
57.000	-3.742	110.323	
58.000	-4.212	119.498	
59.000	-4.335	117.407	
60.000	-4.933	124.308	
61.000	-4.805	126.680	
62.000	-5.951	130.196	
63.000	-6.503	135.002	
64.000	-6.573	135.585	
65.000	-6.987	137.884	
66.000	-6.491	145.013	
67.000	-6.257	150.318	
68.000	-6.389	154.287	
69.000	-7.047	160.771	
70.000	-6.890	167.119	
71.000	-6.569	174.946	
72.000	-6.852	177.893	
73.000	-7.072	-177.681	
74.000	-7.593	-175.891	
75.000	-7.303	-175.062	
76.000	-7.634	-172.117	
77.000	-8.314	-169.682	
78.000	-8.018	-172.122	
79.000	-7.944	-171.518	
80.000	-7.784	-173.301	
