Test Title:	5 Element Test -127 progressive phase						
Date:	08/12/2021						
Time:	13:16						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-80.000000	Stop	80.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-80.000	-11.329	101.698	
-79.000	-11.200	102.333	
-78.000	-11.784	101.169	
-77.000	-11.990	104.703	
-76.000	-12.692	105.258	
-75.000	-13.282	110.306	
-74.000	-13.389	106.579	
-73.000	-12.905	105.670	
-72.000	-13.382	110.094	
-71.000	-13.048	104.726	
-70.000	-13.151	102.138	
-69.000	-13.388	104.509	
-68.000	-13.219	97.876	
-67.000	-12.487	91.321	
-66.000	-12.226	90.357	
-65.000	-12.278	90.359	
-64.000	-11.162	81.751	
-63.000	-10.297	75.076	
-62.000	-11.023	68.196	
-61.000	-10.496	58.821	
-60.000	-10.074	51.236	
-59.000	-9.979	46.518	
-58.000	-9.320	42.161	
-57.000	-9.545	35.736	
-56.000	-9.667	31.863	
-55.000	-8.357	29.292	
-54.000	-7.974	22.592	
-53.000	-7.312	20.748	
-52.000	-6.963	13.304	
-51.000	-6.858	11.535	
-50.000	-6.010	8.463	
-49.000	-6.439	1.876	
-48.000	-5.710	-2.641	
-47.000	-5.835	-5.081	
-46.000	-5.918	-5.024	
-45.000	-6.052	-14.414	
-44.000	-6.262	-15.464	
-43.000	-6.077	-17.777	
-42.000	-6.405	-26.814	
-41.000	-6.923	-27.584	
-40.000	-7.079	-31.763	
-39.000	-7.673	-38.433	
-38.000	-7.848	-44.518	
-37.000	-8.025	-46.183	
-36.000	-8.526	-56.407	
-35.000	-8.166	-70.488	
-34.000	-9.084	-73.023	
-33.000	-8.419	-92.351	
-32.000	-8.163	-102.735	
-31.000	-7.419	-110.036	
-30.000	-6.240	-124.012	
-29.000	-5.927	-126.575	
-28.000	-5.174	-136.773	
-27.000	-4.063	-138.093	
-26.000	-3.756	-143.422	
-25.000	-3.054	-150.615	
-24.000	-2.615	-155.703	
-23.000	-1.280	-156.349	
-22.000	-1.989	-164.008	
-21.000	-1.895	-161.978	
-20.000	-1.735	-167.713	
-19.000	-2.437	-173.480	
-18.000	-1.642	-170.106	
-17.000	-2.333	-174.923	
-16.000	-2.573	-178.074	
-15.000	-2.751	-177.510	
-14.000	-3.355	-178.305	
-13.000	-3.690	-176.461	
-12.000	-4.548	-179.433	
-11.000	-5.630	179.505	
-10.000	-6.476	178.963	
-9.000	-8.850	178.418	
-8.000	-12.367	179.823	
-7.000	-14.311	173.927	
-6.000	-20.971	168.802	
-5.000	-25.589	49.244	
-4.000	-17.596	16.161	
-3.000	-12.852	0.052	
-2.000	-10.088	2.536	
-1.000	-6.595	1.275	
0.000	-5.929	2.578	
1.000	-3.805	2.461	
2.000	-2.730	5.811	
3.000	-1.812	3.294	
4.000	-1.703	3.287	
5.000	-0.686	5.308	
6.000	-1.112	7.322	
7.000	-0.403	4.600	
8.000	-0.261	6.212	
9.000	-0.472	4.960	
10.000	-0.417	9.296	
11.000	-1.227	15.819	
12.000	-2.062	17.288	
13.000	-2.713	19.019	
14.000	-3.425	23.256	
15.000	-5.435	29.060	
16.000	-7.248	42.658	
17.000	-10.212	58.770	
18.000	-10.994	84.709	
19.000	-9.974	126.481	
20.000	-7.958	141.456	
21.000	-5.645	155.897	
22.000	-2.718	166.718	
23.000	-1.225	172.287	
24.000	-0.077	175.294	
25.000	1.747	178.654	
26.000	2.618	-175.879	
27.000	3.575	-173.031	
28.000	4.742	-170.288	
29.000	4.978	-171.747	
30.000	5.887	-168.827	
31.000	6.392	-166.780	
32.000	6.248	-164.117	
33.000	6.948	-161.766	
34.000	7.572	-162.921	
35.000	7.505	-160.494	
36.000	8.066	-159.240	
37.000	8.080	-156.911	
38.000	8.074	-156.422	
39.000	8.439	-156.647	
40.000	7.850	-154.721	
41.000	8.308	-151.545	
42.000	8.414	-148.253	
43.000	8.120	-149.020	
44.000	8.419	-147.246	
45.000	7.997	-146.688	
46.000	7.779	-146.929	
47.000	7.552	-144.927	
48.000	7.062	-142.686	
49.000	7.210	-145.305	
50.000	7.180	-141.055	
51.000	6.681	-142.283	
52.000	6.327	-142.261	
53.000	5.737	-142.443	
54.000	5.576	-140.297	
55.000	5.021	-140.450	
56.000	5.081	-139.819	
57.000	4.982	-137.548	
58.000	4.018	-135.880	
59.000	3.607	-133.791	
60.000	3.094	-132.905	
61.000	2.553	-134.383	
62.000	2.696	-129.183	
63.000	1.531	-129.791	
64.000	1.191	-128.060	
65.000	0.901	-123.270	
66.000	0.041	-123.915	
67.000	-1.253	-121.934	
68.000	-1.600	-118.959	
69.000	-3.472	-116.985	
70.000	-3.768	-113.548	
71.000	-5.049	-116.192	
72.000	-6.580	-117.270	
73.000	-7.563	-116.477	
74.000	-8.948	-124.340	
75.000	-10.528	-123.420	
76.000	-11.255	-131.812	
77.000	-11.988	-137.429	
78.000	-12.899	-145.310	
79.000	-13.629	-152.427	
80.000	-14.389	-162.409	
