Test Title:	5 Element Test -127 progressive phase						
Date:	08/12/2021						
Time:	13:34						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-100.000000	Stop	100.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-100.000	-4.937	108.057	
-99.000	-5.155	109.450	
-98.000	-4.954	110.714	
-97.000	-5.253	115.844	
-96.000	-5.034	114.217	
-95.000	-5.628	119.623	
-94.000	-6.322	123.022	
-93.000	-5.632	123.918	
-92.000	-5.713	125.914	
-91.000	-6.094	129.961	
-90.000	-5.874	134.496	
-89.000	-5.779	133.648	
-88.000	-5.262	135.848	
-87.000	-4.912	140.223	
-86.000	-4.682	140.067	
-85.000	-5.226	141.410	
-84.000	-5.078	141.253	
-83.000	-4.621	142.412	
-82.000	-4.996	142.532	
-81.000	-4.975	146.406	
-80.000	-4.793	146.734	
-79.000	-5.368	148.967	
-78.000	-4.666	149.753	
-77.000	-4.706	152.008	
-76.000	-4.921	151.827	
-75.000	-4.488	153.485	
-74.000	-4.488	154.883	
-73.000	-4.366	155.201	
-72.000	-4.188	154.374	
-71.000	-4.394	159.098	
-70.000	-4.442	158.066	
-69.000	-4.578	159.676	
-68.000	-5.197	162.835	
-67.000	-4.351	161.718	
-66.000	-4.495	160.681	
-65.000	-5.460	161.798	
-64.000	-4.096	157.739	
-63.000	-4.251	156.253	
-62.000	-5.244	156.336	
-61.000	-4.720	153.312	
-60.000	-4.500	153.111	
-59.000	-5.847	151.010	
-58.000	-5.301	147.469	
-57.000	-6.262	145.964	
-56.000	-5.816	140.169	
-55.000	-6.845	136.325	
-54.000	-7.866	131.667	
-53.000	-7.559	128.394	
-52.000	-8.385	120.824	
-51.000	-8.961	113.076	
-50.000	-8.681	99.225	
-49.000	-9.289	91.122	
-48.000	-9.459	82.521	
-47.000	-9.209	69.089	
-46.000	-9.995	59.803	
-45.000	-9.858	51.240	
-44.000	-8.220	44.661	
-43.000	-7.941	37.257	
-42.000	-7.600	30.230	
-41.000	-6.766	28.800	
-40.000	-6.777	22.047	
-39.000	-5.855	17.453	
-38.000	-6.160	12.538	
-37.000	-5.459	5.787	
-36.000	-4.927	-1.623	
-35.000	-4.959	-5.320	
-34.000	-4.595	-12.232	
-33.000	-4.415	-19.943	
-32.000	-4.699	-26.512	
-31.000	-4.775	-32.668	
-30.000	-5.284	-37.425	
-29.000	-5.208	-43.106	
-28.000	-6.405	-55.144	
-27.000	-6.428	-60.258	
-26.000	-6.105	-70.281	
-25.000	-6.062	-77.168	
-24.000	-6.598	-86.271	
-23.000	-6.284	-96.491	
-22.000	-5.935	-106.458	
-21.000	-5.723	-112.077	
-20.000	-4.574	-119.479	
-19.000	-5.092	-128.661	
-18.000	-4.002	-132.899	
-17.000	-4.990	-139.045	
-16.000	-4.043	-143.687	
-15.000	-3.522	-146.482	
-14.000	-3.737	-150.436	
-13.000	-2.898	-154.914	
-12.000	-2.373	-158.696	
-11.000	-2.835	-159.325	
-10.000	-2.806	-163.020	
-9.000	-3.379	-165.083	
-8.000	-4.126	-165.239	
-7.000	-4.068	-169.806	
-6.000	-4.751	-169.238	
-5.000	-6.034	-167.394	
-4.000	-6.440	-169.410	
-3.000	-7.374	-171.407	
-2.000	-10.064	-177.307	
-1.000	-10.997	-170.615	
0.000	-15.945	-179.963	
1.000	-20.369	175.467	
2.000	-33.041	32.707	
3.000	-20.854	10.661	
4.000	-14.466	13.749	
5.000	-11.211	12.307	
6.000	-8.851	17.452	
7.000	-6.908	12.341	
8.000	-5.161	10.637	
9.000	-3.932	11.436	
10.000	-2.992	12.855	
11.000	-2.576	10.215	
12.000	-2.099	11.958	
13.000	-1.746	15.617	
14.000	-1.284	15.669	
15.000	-1.572	17.355	
16.000	-1.600	17.888	
17.000	-1.392	22.086	
18.000	-2.345	22.061	
19.000	-2.061	24.419	
20.000	-2.554	25.290	
21.000	-4.044	30.785	
22.000	-4.739	34.528	
23.000	-6.428	44.340	
24.000	-8.194	48.146	
25.000	-9.058	60.549	
26.000	-11.260	72.231	
27.000	-13.109	93.841	
28.000	-12.865	118.140	
29.000	-10.903	148.932	
30.000	-7.501	157.493	
31.000	-5.478	173.448	
32.000	-5.485	177.301	
33.000	-3.679	-177.307	
34.000	-1.728	-176.129	
35.000	-0.593	-171.788	
36.000	0.625	-169.390	
37.000	0.530	-166.677	
38.000	1.858	-165.034	
39.000	2.532	-162.318	
40.000	2.773	-162.068	
41.000	3.577	-158.832	
42.000	4.070	-157.215	
43.000	3.771	-153.697	
44.000	3.958	-151.994	
45.000	4.401	-153.281	
46.000	3.719	-151.642	
47.000	5.039	-150.014	
